District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
H,Shirguppi,699,809,16
T,Kalghatgi,979,1253,28
H,Kalghatgi,979,1329,36
H,Dummavada,852,1205,42
H,Tabkad Honnihalli,965,1209,25
T,Kundgol,661,841,27
H,Kundgol,661,833,26
H,Saunshi,696,842,21
T,Navalgund,631,711,13
H,Moraba,631,707,12
T,Hubballi Nagara,746,1009,35
H,Hubballi Urban,746,1007,35
T,Alnavara,1267,1416,12
H,Alnavar,1267,1411,11
T,Annigeri,651,797,23
H,Annigeri,651,801,23
D,SHIVAMOGGA,2325,2444,5
T,Bhadravathi,866,1292,49
H,Bhadravathi_1,866,1420,64
H,Bhadravathi_2,936,1268,35
H,Hole Honnuru_1,883,1090,24
H,Hole Honnuru_3,846,1194,41
H,Hole Honnuru_2,800,1266,58
H,Kudligere,882,1353,53
T,HOSANAGARA,3071,3285,7
H,Hosanagar,3071,3270,6
H,Huncha,2490,2433,-2
H,Kerehalli,1764,1807,2
H,Nagar,5205,4654,-11
T,SAGARA,2495,3240,30
H,Sagar,2495,2139,-14
H,Anandapuram,1702,2038,20
H,Baragadde,4040,3789,-6
H,Anahalli,2692,2442,-9
H,Karauru,4154,4836,16
H,Talguppa,2710,2768,2
T,SHIKARIPURA,975,1399,43
H,Shikaripur,975,1472,51
H,Anjanapura,1171,1470,26
H,Husuru,861,1334,55
H,Udagani,1037,1359,31
H,Talagunda,1050,1385,32
T,Shivamogga,842,1498,78
H,Shivamogga_2,842,1346,60
H,Shivamogga_1,1150,1409,22
H,Haranahalli,1037,1389,34
H,Holalur_1,843,1316,56
H,Holalur_2,913,1160,27
H,Kumsi,984,1761,79
H,Nidige_1,951,1498,58
H,Nidige_2,1193,1478,24
H,Ayanuru,1043,1717,65
T,SORABA,1541,1811,18
H,Sorab,1541,1815,18
H,Anavatti,1261,1419,13
H,Chandragutti,2332,1974,-15
H,Jade,1478,1622,10
H,Kuppagadde,1417,1906,34
H,Ulvi,1895,1962,4
T,Tirthahalli,2867,3083,8
H,Thirthahalli,2867,3040,6
H,Agrahara,2713,3039,12
H,Agumbe,7565,4152,-45
H,Mandagadde,1690,2435,44
H,Malur,2579,2650,3
D,HASSAN,1142,1363,19
T,Alur,1149,1259,10
H,Alur,1149,1191,4
H,Kenchamman Hoskota,1814,1528,-16
H,Kundur,1136,983,-13
H,Palya,1581,1232,-22
T,ARKALGUD,885,1100,24
H,Arkalgud,885,957,8
H,Doddamagge,899,1001,11
H,Konanuru,797,1140,43
H,Mallipatna,1246,1354,9
H,Ramanathapura,830,1077,30
T,ARASIKERE,696,1036,49
H,Arasikere,696,1059,52
H,Banavara,564,1078,91
H,Gandasi,661,1151,74
H,Javagal,934,951,2
H,Kanakatte,595,980,65
T,Belur,1021,1163,14
H,Belur,1021,1170,15
H,Arehalli,1790,1512,-16
H,Bikkodu,1213,1269,5
H,Halebeedu,1305,978,-25
H,Madihalli,2378,917,-61
T,Channarayapatna,690,1130,64
H,Channarayapatna,690,965,40
H,Baguru,779,1267,63
H,Dandiganahalli,692,1018,47
H,Hirisave,768,1205,57
H,Nuggehalli,669,1227,83
H,Shravan Belgola,733,1103,50
